*      1 ********************************************************************** ]
*      2 *                                                                    * ]
*      3 *  THIS PROPELLENT DATA FILE WAS LAST MODIFIED 24-MAR 2017           * ]
*      4 *                                                                    * ]
*      5 *  JOHN CUNNINGHAM       MARTIN MARIETTA, ORLANDO FLORIDA            * ]
*      6 *                                                                    * ]
*      7 *  PUT NEW INGREDIENTS AT BOTTOM OF FILE AND CODE AS DESIRED         * ]
*      8 *  THE FORMAT (A1,I5,A30,6(I3,A2),F5.0,F6.0) IS USED FOR THE         * ]
*      9 *  INGREDIENTS WHERE:                                                * ]
*     10 *                                                                    * ]
*     11 *  A4, ARE FLAGS                                                     * ]
*     12 *                                                                    * ]
*     13 *  I5, IS THE SEQUENTIAL LINE NUMBER                                 * ]
*     14 *                                                                    * ]
*     15 *  A30, IS THE NAME OF THE INGREDIENT                                * ]
*     16 *  I3, IS THE MUMBER OF ATOMS OF THE FIRST ELEMENT I.E. 2 IN H2O,    * ]
*     17 *      RIGHT JUSTIFIED IN THE FIELD                                  * ]
*     18 *  A2, IS THE CHEMICAL SYMBOL OF THE ELEMENT I. E. IRON=FE,          * ]
*     19 *      LEFT JUSTIFIED IN THE FIELD                                   * ]
*     20 *      IT IS REPEATED 6 TIMES TO ALLOW THE IMPUT OF A FORMULA FOR    * ]
*     21 *      COMPOUND WITH 6 DIFFERENT ELEMENTS                            * ]
*     22 *  F5.0 IS THE HEAT OF FORMATION OF THE COMPOUND IN CALORIES/GRAM    * ]
*     23 *      THIS IS IMPUT RIGHT JUSTIFIED WITHOUT A DECIMAL POINT         * ]
*     24 *  F6.0 IS THE DENSITY OF THE INGREDIENT IN POUNDS/CUBIC INCH        * ]
*     25 *      DENSITY IS OPTIONAL BUT IS NECESSARY IF THE VEHICLE           * ]
*     26 *      PERFORMANCE OPTION IS SELECTED                                * ]
*     27 ********************************************************************** ]
*     28                                                                        ]
      29 ACAN  MAE CHAN                  9C  16H  10O   8N   0    0   -776 .1032]
      30 ACETAMIDE                       2C   5H   1O   1N   0    0  -1310 .0360]
      31 ACETYL TRIETHYL CITRATE        22H  14C   8O   0    0    0  -1257 .0408]
BD    32 ACETYLENE (LIQUID)              2C   2H   0    0    0    0   1846 .0263]
      33 ACETYLENE (GASEOUS)*            2H   2C   0    0    0    0   2081 .0000]
      34 ACETYLTRIBUTYL CITRATE         20C  34H   8O   0    0    0  -1097 .0000]
      35 ACRYLAMIDE                      3C   5H   1O   1N   0    0   -753 .0000]
      36 ACRYLIC ACID         -HC-       4H   3C   2O   0    0    0  -1282 .0384]
      37 ACRYLIC NITRILE                 3C   3H   1N   0    0    0    682 .0000]
      38 ACRYLONITRILE                 575C 609H   8O 169N   0    0    334 .0000]
      39 ACRYLONITRILE (SUBSTITUTED)    18C  15H   2O   1N   0    0   -103 .0000]
      40 ADAMANTINE                     10C  16H   0    0    0    0   -340 .0000]
      41 ADHG                          149C 516H 214N 293O   0    0  -1272 .0623]
      42 ADIPIC ACID                     6C  10H   4O   0    0    0      0 .0000]
      43 ADT                             3C   2H  10N   0    0    0    931 .0584]
      44 AIR (DRY AT SEA LEVEL)        835N 224O   5AR  0    0    0      0 .0000]
A     45 AIR (350 K)   (630 R)         835N 224O   5AR  0    0    0     10 .0000]
A     46 AIR (400 K)   (720 R)         835N 224O   5AR  0    0    0     23 .0000]
A     47 AIR (450 K)   (810 R)         835N 224O   5AR  0    0    0     36 .0000]
A     48 AIR (500 K)   (900 R)         835N 224O   5AR  0    0    0     49 .0000]
A     49 AIR (555.56 K) (1000 R)       835N 224O   5AR  0    0    0     63 .0000]
A     50 AIR (600 K)   (1080 R)        835N 224O   5AR  0    0    0     75 .0000]
A     51 AIR (650 K)   (1170 R)        835N 224O   5AR  0    0    0     88 .0000]
A     52 AIR (700 K)   (1260 R)        835N 224O   5AR  0    0    0    101 .0000]
A     53 AIR (750 K)   (1350 R)        835N 224O   5AR  0    0    0    113 .0000]
